"name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","women","native_american","asian","black","hispanic","pacific_islander","white","two_more_races","unkown","foreign","total_minority"
"Vance-Granville Community College","North Carolina","NC","Public","2 Year",NA,2409,2409,8169,8169,4025,NA,NA,NA,NA,NA,2629,52,28,1454,261,7,1975,109,111,28,1911
"Vanderbilt University","Tennessee","TN","Private","4 Year",16234,49816,66050,49816,66050,12686,1,65400,119100,48,23,6793,35,966,932,810,12,7653,456,620,1202,3211
"VanderCook College of Music","Illinois","IL","Private","4 Year",13192,28434,41626,28434,41626,176,NA,NA,NA,NA,NA,81,0,17,11,27,0,109,5,5,2,60
"Vanguard University of Southern California","California","CA","Private","4 Year",10520,33700,44220,33700,44220,2255,NA,NA,NA,NA,NA,1517,6,103,92,778,16,1061,114,72,13,1109
"Vassar College","New York","NY","Private","4 Year",13550,56960,70510,56960,70510,2421,NA,NA,NA,NA,NA,1356,1,265,135,273,0,1418,138,3,188,812
"Vaughn College of Aeronautics and Technology","New York","NY","Private","4 Year",14550,25710,40260,25710,40260,1614,NA,NA,NA,NA,NA,213,8,185,351,605,55,217,75,85,33,1279
"Ventura College","California","CA","Public","2 Year",NA,1418,1418,9218,9218,12928,NA,NA,NA,NA,NA,7128,59,608,307,7324,28,3885,463,233,21,8789
"Vermilion Community College","Minnesota","MN","Public","2 Year",6290,5324,11614,6506,12796,712,NA,NA,NA,NA,NA,243,9,3,48,16,0,597,33,5,1,109
"Vermont Technical College","Vermont","VT","Public","4 Year",10598,15108,25706,27780,38378,1542,5,52400,93900,41,4,716,11,18,23,23,0,1375,36,20,36,111
"Vernon College","Texas","TX","Public","2 Year",4096,3000,7096,6300,10396,2989,NA,NA,NA,NA,NA,1914,27,54,260,559,4,1945,88,52,0,992
"Victor Valley College","California","CA","Public","2 Year",5418,1402,6820,9142,14560,11557,NA,NA,NA,NA,NA,6592,38,256,1434,5595,36,3556,536,100,6,7895
"Victoria College","Texas","TX","Public","2 Year",NA,2790,2790,5040,5040,4146,NA,NA,NA,NA,NA,2709,13,57,221,1825,2,1953,55,19,1,2173
"Villa Maria College of Buffalo","New York","NY","Private","4 Year",NA,22600,22600,22600,22600,477,NA,NA,NA,NA,NA,324,2,6,121,31,1,287,23,6,0,184
"Villanova University","Pennsylvania","PA","Private","4 Year",14020,53308,67328,53308,67328,10735,7,65100,119500,41,23,5542,12,666,580,699,9,7869,209,333,358,2175
"Vincennes University","Indiana","IN","Public","2 Year",9990,5902,15892,13959,23949,19205,NA,NA,NA,NA,NA,8709,49,201,2048,947,31,14368,336,1191,34,3612
"Virginia Baptist College","Virginia","VA","Private","4 Year",NA,5800,5800,5800,5800,94,NA,NA,NA,NA,NA,42,0,0,17,4,0,68,3,0,2,24
"Virginia Commonwealth University","Virginia","VA","Public","4 Year",10428,14490,24918,35138,45566,30848,16,49900,88200,52,18,17863,84,3615,4798,2002,51,16093,1282,1251,1672,11832
"Virginia Highlands Community College","Virginia","VA","Public","2 Year",NA,4710,4710,10638,10638,2505,NA,NA,NA,NA,NA,1482,4,16,74,39,2,2316,46,6,2,181
"Virginia Marti College of Art and Design","Ohio","OH","For Profit","2 Year",NA,20700,20700,20700,20700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Military Institute","Virginia","VA","Public","4 Year",9428,18862,28290,45706,55134,1700,2,65900,120600,68,47,188,6,75,86,82,13,1384,28,1,25,290
"Virginia Polytechnic Institute and State University","Virginia","VA","Public","4 Year",8934,13620,22554,31304,40238,NA,4,62700,114000,48,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia State University","Virginia","VA","Public","4 Year",11208,9056,20264,19576,30784,5025,24,44900,81800,61,14,2997,15,23,4283,99,1,147,0,444,13,4421
"Virginia Union University","Virginia","VA","Private","4 Year",8598,17448,26046,17448,26046,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia University of Lynchburg","Virginia","VA","Private","4 Year",9400,9000,18400,9000,18400,324,NA,NA,NA,NA,NA,146,0,0,319,2,0,3,0,0,0,321
"Virginia Wesleyan University","Virginia","VA","Private","4 Year",9256,36660,45916,36660,45916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Virginia Western Community College","Virginia","VA","Public","2 Year",NA,5355,5355,11283,11283,8632,NA,NA,NA,NA,NA,4760,19,231,1051,281,11,6657,281,57,44,1874
"Visible Music College","Tennessee","TN","Private","4 Year",6000,19500,25500,19500,25500,112,NA,NA,NA,NA,NA,37,0,1,21,6,0,75,2,2,5,30
"Viterbo University","Wisconsin","WI","Private","4 Year",9060,27970,37030,27970,37030,2804,22,46800,81900,62,3,2045,9,40,46,61,1,2549,45,15,38,202
"Volunteer State Community College","Tennessee","TN","Public","2 Year",NA,4229,4229,16517,16517,7664,NA,NA,NA,NA,NA,4603,25,89,663,301,8,6194,166,166,52,1252
"Voorhees College","South Carolina","SC","Private","4 Year",7346,12630,19976,12630,19976,468,NA,NA,NA,NA,NA,253,0,0,459,1,0,0,0,2,6,460
"W.L. Bonner Bible College","South Carolina","SC","Private","4 Year",2576,8868,11444,8868,11444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wabash College","Indiana","IN","Private","4 Year",10050,43450,53500,43450,53500,926,3,62200,114400,40,34,0,5,12,55,59,1,691,27,10,66,159
"Wade College","Texas","TX","For Profit","2 Year",NA,16650,16650,16650,16650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wagner College","New York","NY","Private","4 Year",14124,47090,61214,47090,61214,2231,NA,NA,NA,NA,NA,1421,3,74,149,202,1,1521,38,165,78,467
"Wake Forest University","North Carolina","NC","Private","4 Year",16032,53322,69354,53322,69354,7788,NA,NA,NA,NA,NA,3992,21,331,647,433,40,5554,166,105,491,1638
"Wake Technical Community College","North Carolina","NC","Public","2 Year",NA,2610,2610,8370,8370,21384,NA,NA,NA,NA,NA,11813,105,595,5222,1798,28,10744,628,683,1581,8376
"Walden University","Minnesota","MN","For Profit","4 Year",NA,15045,15045,15045,15045,52188,NA,NA,NA,NA,NA,39871,267,1343,18914,3021,116,20280,1090,6618,539,24751
